level_0,index,team,code,name,surname,laps,time,grand_prix,date,year
15,S,Red Bull Racing Renault,VET,Sebastian,Vettel,60,31:12.2,                         India                     ,27-Oct-13,2013
16,V,Red Bull Racing Renault,VET,Sebastian,Vettel,55,38:06.1,                         Abu Dhabi                     ,03-Nov-13,2013
17,X,Red Bull Racing Renault,VET,Sebastian,Vettel,56,39:17.1,                         United States                      ,17-Nov-13,2013
18,Q,Red Bull Racing Renault,VET,Sebastian,Vettel,71,32:36.3,                         Brazil                     ,24-Nov-13,2013
0,A,Mercedes,ROS,Nico,Rosberg,57,32:58.7,                         Australia                     ,16-Mar-14,2014
1,B,Mercedes,HAM,Lewis,Hamilton,56,40:26.0,                         Malaysia                     ,30-Mar-14,2014
2,C,Mercedes,HAM,Lewis,Hamilton,57,39:42.7,                         Bahrain                     ,06-Apr-14,2014
3,D,Mercedes,HAM,Lewis,Hamilton,54,33:28.3,                         China                     ,20-Apr-14,2014
4,E,Mercedes,HAM,Lewis,Hamilton,66,41:05.2,                         Spain                     ,11-May-14,2014
5,F,Mercedes,ROS,Nico,Rosberg,78,49:27.7,                         Monaco                     ,25-May-14,2014
6,G,Red Bull Racing Renault,RIC,Daniel,Ricciardo,70,39:12.8,                         Canada                     ,08-Jun-14,2014
7,H,Mercedes,ROS,Nico,Rosberg,71,27:55.0,                         Austria                     ,22-Jun-14,2014
8,J,Mercedes,HAM,Lewis,Hamilton,52,26:52.1,                         Great Britain                     ,06-Jul-14,2014
9,K,Mercedes,ROS,Nico,Rosberg,67,33:42.9,                         Germany                     ,20-Jul-14,2014
10,L,Red Bull Racing Renault,RIC,Daniel,Ricciardo,70,53:05.1,                         Hungary                     ,27-Jul-14,2014
11,I,Red Bull Racing Renault,RIC,Daniel,Ricciardo,44,24:36.6,                         Belgium                     ,24-Aug-14,2014
12,M,Mercedes,HAM,Lewis,Hamilton,53,19:10.2,                         Italy                     ,07-Sep-14,2014
13,P,Mercedes,HAM,Lewis,Hamilton,60,00:04.8,                         Singapore                     ,21-Sep-14,2014
14,R,Mercedes,HAM,Lewis,Hamilton,44,51:43.0,                         Japan                     ,05-Oct-14,2014
15,S,Mercedes,HAM,Lewis,Hamilton,53,31:50.7,                         Russia                     ,21-Oct-14,2014
16,V,Mercedes,HAM,Lewis,Hamilton,56,40:04.8,                         United States                      ,02-Nov-14,2014
17,X,Mercedes,ROS,Nico,Rosberg,71,30:02.6,                         Brazil                     ,09-Nov-14,2014
18,Q,Mercedes,HAM,Lewis,Hamilton,55,39:02.6,                         Abu Dhabi                     ,23-Nov-14,2014
0,A,Mercedes,HAM,Lewis,Hamilton,58,31:54.1,                         Australia                     ,15-Mar-15,2015
1,B,Ferrari,VET,Sebastian,Vettel,56,41:05.8,                         Malaysia                     ,29-Mar-15,2015
2,C,Mercedes,HAM,Lewis,Hamilton,56,39:42.0,                         China                     ,12-Apr-15,2015
3,D,Mercedes,HAM,Lewis,Hamilton,57,35:05.8,                         Bahrain                     ,19-Apr-15,2015
4,E,Mercedes,ROS,Nico,Rosberg,66,41:12.6,                         Spain                     ,10-May-15,2015
5,F,Mercedes,ROS,Nico,Rosberg,78,49:18.4,                         Monaco                     ,24-May-15,2015
6,G,Mercedes,HAM,Lewis,Hamilton,70,31:53.1,                         Canada                     ,07-Jun-15,2015
7,H,Mercedes,ROS,Nico,Rosberg,71,30:16.9,                         Austria                     ,21-Jun-15,2015
8,J,Mercedes,HAM,Lewis,Hamilton,52,31:27.7,                         Great Britain                     ,05-Jul-15,2015
9,K,Ferrari,VET,Sebastian,Vettel,69,46:10.0,                         Hungary                     ,26-Jul-15,2015
10,L,Mercedes,HAM,Lewis,Hamilton,43,23:40.4,                         Belgium                     ,23-Aug-15,2015
11,I,Mercedes,HAM,Lewis,Hamilton,53,18:00.7,                         Italy                     ,06-Sep-15,2015
12,M,Ferrari,VET,Sebastian,Vettel,61,01:22.1,                         Singapore                     ,20-Sep-15,2015
13,P,Mercedes,HAM,Lewis,Hamilton,53,28:06.5,                         Japan                     ,27-Sep-15,2015
14,R,Mercedes,HAM,Lewis,Hamilton,53,37:11.0,                         Russia                     ,11-Oct-15,2015
15,S,Mercedes,HAM,Lewis,Hamilton,56,50:52.7,                         United States                      ,25-Oct-15,2015
16,V,Mercedes,ROS,Nico,Rosberg,71,42:35.0,                         Mexico                     ,01-Nov-15,2015
17,X,Mercedes,ROS,Nico,Rosberg,71,31:09.1,                         Brazil                     ,15-Nov-15,2015
18,Q,Mercedes,ROS,Nico,Rosberg,55,38:30.2,                         Abu Dhabi                     ,29-Nov-15,2015
0,A,Mercedes,ROS,Nico,Rosberg,57,48:15.6,                         Australia                     ,20-Mar-16,2016
1,B,Mercedes,ROS,Nico,Rosberg,57,33:34.7,                         Bahrain                     ,03-Apr-16,2016
